Date,Description,Amount
2025-07-03,Yatra,8365.0
2025-05-15,College Fee - XYZ University,7211.67
2025-05-20,Axis Bank Car Loan EMI,7361.52
2025-06-11,Cleartrip,1470.2
2025-07-16,School Fee - DPS,1772.2
2025-03-14,Local Kirana Store,3813.71
2025-03-04,Delhi Jal Board,1151.19
2025-07-06,Ola Ride,6805.93
2025-07-27,Zomato,7517.37
2025-07-21,HDFC Credit Card Bill,8480.6
2025-06-17,Redbus,7398.07
2025-03-06,Apple Store,91.0
2025-04-22,IRCTC Ticket,1279.82
2025-03-10,MedPlus,759.57
2025-03-18,Ola Ride,1676.58
2025-06-25,Donation to NGO,5071.18
2025-07-21,Adani Electricity,7045.34
2025-05-31,Swiggy,1855.6
2025-02-15,Apple Store,3352.0
2025-05-07,Axis Bank Car Loan EMI,1200.93
2025-08-08,Tuition Fee - Maths,8200.1
2025-08-09,Apollo Pharmacy,5416.7
2025-07-17,Apollo Pharmacy,5244.27
2025-04-24,OYO Rooms,8756.2
2025-04-09,Airtel Recharge,8032.47
2025-05-13,INOX,4730.26
2025-02-18,Disney+ Hotstar,8386.85
2025-07-12,Donation to NGO,4339.43
2025-05-01,HDFC Home Loan,2773.4
2025-06-22,Pantaloons,7289.26
2025-07-26,SBI General Insurance,4550.73
2025-02-27,Yatra,987.08
2025-04-04,BSES Rajdhani,3744.38
2025-06-30,Zomato,9171.94
2025-02-20,Domino's,3955.01
2025-07-15,BSES Bill Payment,9749.09
2025-05-21,Cult Fit,7518.25
2025-03-15,Vijay Sales,4996.14
2025-06-03,Donation to NGO,1517.72
2025-04-08,Home Centre,2790.16
2025-05-23,1mg,6049.54
2025-03-24,Sony LIV,141.95
2025-03-15,Tata Power,7390.69
2025-06-25,Croma,3039.83
2025-02-17,Axis Bank Car Loan EMI,3708.85
2025-05-03,Lays Chips,7135.54
2025-03-05,Charity Trust,3666.68
2025-03-23,Diagnostic Lab,4399.12
2025-08-08,Tata Sky,3500.73
2025-03-08,Vijay Sales,5925.86
2025-06-28,HDFC Home Loan,4330.0
2025-03-15,Cult Fit,8006.21
2025-03-30,Shoppers Stop,4917.88
2025-04-16,College Fee - XYZ University,380.13
2025-07-18,Tata Sky,2133.02
2025-06-05,BSES Rajdhani,9280.88
2025-02-28,PG Rent - Happy Homes,7928.65
2025-05-20,HDFC Home Loan,6178.49
2025-05-23,Indian Oil Petrol Pump,7338.94
2025-05-31,Redbus,8975.37
2025-03-03,BSES Rajdhani,1266.38
2025-03-02,Bikanervala,7909.11
2025-04-30,Tuition Fee - Maths,7028.62
2025-06-28,DishTV,8770.39
2025-04-24,Donation to NGO,471.25
2025-05-16,Indian Oil,1528.23
2025-06-29,Gold's Gym,3646.17
2025-03-17,Sony LIV,6180.55
2025-05-18,Netflix Subscription,9081.79
2025-07-20,IRCTC,5869.02
2025-02-26,Home Centre,6760.69
2025-07-17,Local Kirana Store,3347.67
2025-07-08,OYO Rooms,5551.67
2025-04-24,SBI Card Payment,5230.53
2025-04-14,Flipkart,6964.49
2025-06-28,Taj Hotels,8876.16
2025-04-15,Sony LIV,778.74
2025-02-17,Taj Hotels,3087.0
2025-04-29,Airtel DTH,5332.85
2025-04-10,HDFC Home Loan,3021.68
2025-03-11,Doctor Consultation,1246.92
2025-07-25,H&M,7495.77
2025-04-19,Tata Power,3057.43
2025-03-05,Domino's,9954.81
2025-05-23,Indian Oil,9204.56
2025-04-14,MedPlus,7569.84
2025-02-24,Uber Ride,92.34
2025-04-12,IKEA,5591.45
2025-06-01,Jio Recharge,3951.83
2025-08-11,Zomato,481.49
2025-08-06,Domino's,962.46
2025-07-10,Airtel Broadband,5587.01
2025-06-24,Airtel DTH,7022.36
2025-03-15,Sony LIV,8301.86
2025-07-10,Zomato,6909.94
2025-06-20,HDFC Home Loan,1167.51
2025-06-14,Gold's Gym,1043.91
2025-06-12,Pantaloons,6041.22
2025-02-18,Indian Oil Petrol Pump,5640.42
2025-05-18,SBI Card Payment,3706.3
2025-05-04,Anytime Fitness,3315.18
2025-07-02,Jio Recharge,3999.08
2025-04-19,Bikanervala,1637.69
2025-03-27,Diagnostic Lab,783.04
2025-06-24,Tata Power Bill,8175.39
2025-05-21,DishTV,1435.5
2025-04-09,Cafe Coffee Day,7779.51
2025-05-06,Lays Chips,2725.09
2025-04-09,Reliance Fresh,8190.65
2025-05-22,Tuition Fee - Maths,5957.54
2025-06-12,Movie Ticket - PVR,9909.01
2025-04-19,Redbus,6482.03
2025-02-24,Hospital Fee,1159.73
2025-08-10,Diagnostic Lab,475.83
2025-04-08,Bikanervala,910.79
2025-03-28,Indian Oil,3131.69
2025-03-02,ITC Hotels,6592.99
2025-04-05,Tuition Fee - Science,8926.38
2025-07-12,IRCTC Ticket,532.45
2025-05-23,Yatra,4268.41
2025-05-27,Vijay Sales,1083.86
2025-02-24,BSES Rajdhani,605.3
2025-04-30,1mg,6294.18
2025-05-25,Bikanervala,2258.56
2025-07-23,Airtel DTH,5117.58
2025-06-10,PG Rent - Happy Homes,9829.11
2025-02-14,HDFC Home Loan,3518.49
2025-03-29,Tuition Fee - Science,3756.37
2025-03-17,INOX,172.91
2025-02-19,Yatra,3657.77
2025-06-20,Bangalore Water Supply,2746.41
2025-05-14,Bangalore Water Supply,6064.64
2025-08-11,IRCTC Ticket,4915.82
2025-03-08,OYO Rooms,2174.08
2025-04-20,INOX,2329.84
2025-02-21,Tuition Fee - Maths,2467.98
2025-02-22,Haldiram's,4528.24
2025-07-27,Axis Bank Car Loan EMI,4355.42
2025-05-14,Pizza Hut,482.05
2025-03-10,BSNL Recharge,2693.94
2025-08-04,PG Rent - Happy Homes,768.21
2025-02-21,Lays Chips,3481.56
2025-02-26,School Fee - DPS,2706.84
2025-03-27,BSES Rajdhani,7732.4
2025-04-02,Tuition Fee - Maths,225.95
2025-02-28,Tuition Fee - Science,9229.19
2025-07-17,Myntra,9179.61
2025-06-15,Tuition Fee - Maths,5565.2
2025-08-07,OYO Rooms,3740.95
2025-04-24,Swiggy,4850.7
2025-06-20,Netflix Subscription,3915.64
2025-05-19,Delhi Jal Board,8765.09
2025-07-07,Cleartrip,6049.43
2025-05-30,Croma,612.54
2025-06-29,Doctor Consultation,3128.01
2025-03-19,Reliance Fresh,8549.16
2025-03-14,Bikanervala,250.69
2025-07-07,IKEA,9355.44
2025-07-29,Tata Power,2923.94
2025-03-06,DMart,9121.61
2025-07-09,Shoppers Stop,5057.55
2025-02-28,Flipkart,3567.77
2025-05-17,ITC Hotels,2546.64
2025-05-06,Monthly Rent - Mr. Sharma,3464.0
2025-05-20,Amazon Prime,8576.49
2025-06-23,Big Bazaar,2803.42
2025-07-07,Tuition Fee - Science,8708.84
2025-04-29,Bangalore Water Supply,3836.53
2025-04-18,Haldiram's,9147.35
2025-05-22,Axis Bank Car Loan EMI,1243.4
2025-04-30,Vijay Sales,9828.96
2025-05-26,HDFC Life,4109.96
2025-02-22,Amazon,1772.47
2025-02-14,Taj Hotels,9051.02
2025-06-15,Lays Chips,7589.74
2025-03-22,MakeMyTrip,9536.62
2025-03-23,Airtel DTH,1288.48
2025-05-15,SBI General Insurance,5052.2
2025-04-01,Tuition Fee - Maths,5339.19
2025-05-07,Tuition Fee - Maths,9320.79
2025-04-16,Bikanervala,8501.71
2025-05-22,Netflix Subscription,5960.61
2025-05-29,Croma,4694.1
2025-08-07,Airtel Broadband,2659.43
2025-03-28,Adani Electricity,8977.83
2025-06-23,Big Bazaar,9344.13
2025-06-30,Samsung Store,526.06
2025-02-12,Jio Recharge,4558.91
2025-07-21,HDFC Credit Card Bill,328.14
2025-03-05,Tuition Fee - Science,2447.49
2025-03-31,Myntra,1244.44
2025-07-31,OYO Rooms,2441.09
2025-05-26,BSNL Recharge,2994.31
2025-04-16,Myntra,1391.8
2025-07-02,DishTV,3859.41
2025-06-04,Home Centre,3523.54
2025-07-13,SBI Card Payment,3649.49
2025-05-05,Amazon,4374.5
2025-05-14,Airtel DTH,4210.91
2025-02-25,HDFC Credit Card Bill,4323.73
2025-07-20,Bharat Petroleum,1849.97
2025-03-07,Local Kirana Store,9338.71
2025-04-09,Domino's,8710.58
2025-06-19,Yatra,425.46
2025-06-30,School Fee - DPS,9543.82
2025-04-06,Airtel DTH,3888.5
2025-07-17,Apollo Pharmacy,2234.14
2025-04-30,INOX,9829.48
2025-07-06,Movie Ticket - PVR,3848.53
2025-06-10,DishTV,5183.46
2025-06-26,Adani Electricity,4829.49
2025-04-21,Tuition Fee - Maths,5555.58
2025-05-23,MedPlus,4799.37
2025-03-05,Tuition Fee - Maths,8339.85
2025-07-29,Myntra,5124.16
2025-06-08,Charity Trust,1149.65
2025-03-16,Amazon Prime,8002.98
2025-06-01,Domino's,5263.28
2025-07-17,Tata Sky,1684.03
2025-02-24,Sony LIV,4600.97
2025-06-27,Airtel Broadband,6387.84
2025-06-15,HDFC Home Loan,9375.87
2025-05-28,H&M,6735.99
2025-06-14,OYO Rooms,3753.63
2025-06-05,MakeMyTrip,8928.41
2025-04-27,ACT Fibernet,2580.62
2025-06-11,Airtel DTH,963.56
2025-05-15,Cafe Coffee Day,814.05
2025-03-17,HP Petrol Pump,4336.82
2025-04-08,Cleartrip,4589.59
2025-03-21,LIC Premium,6880.81
2025-04-22,Airtel Broadband,1941.02
2025-03-25,BSNL Recharge,5797.85
2025-03-27,Airtel Recharge,181.75
2025-06-17,Bangalore Water Supply,7527.22
2025-05-09,Cleartrip,912.72
2025-07-17,PG Rent - Happy Homes,3980.48
2025-03-10,HDFC Credit Card Bill,9355.65
2025-04-03,College Fee - XYZ University,7471.19
2025-07-07,Lays Chips,7881.63
2025-05-01,Adani Electricity,8219.92
2025-06-25,Myntra,7878.65
2025-08-11,Tuition Fee - Maths,524.23
2025-06-29,Adani Electricity,2009.73
2025-05-21,Croma,3736.98
2025-04-23,Haldiram's,3218.52
2025-06-15,Flipkart,2307.91
2025-03-28,Bangalore Water Supply,2702.83
2025-03-29,Swiggy,1882.79
2025-05-17,Vijay Sales,6848.06
2025-03-23,Redbus,7718.27
2025-07-16,Apple Store,8594.43
2025-07-19,Temple Donation,3983.09
2025-05-23,Bharat Petroleum,8141.47
2025-06-20,BSNL Recharge,6397.57
2025-06-08,Charity Trust,455.93
2025-05-20,Adani Electricity,519.03
2025-08-06,College Fee - XYZ University,7693.7
2025-03-14,Airtel Recharge,6739.03
2025-05-23,Movie Ticket - PVR,7282.51
2025-03-09,IKEA,2346.71
2025-08-07,JioFiber,4769.23
2025-04-09,Haldiram's,3706.73
2025-07-10,Temple Donation,2307.02
2025-07-24,Tata Sky,6784.09
2025-02-12,HP Petrol Pump,1358.73
2025-07-22,Axis Bank Car Loan EMI,3366.31
2025-03-13,Home Centre,7939.3
2025-04-28,Bharat Petroleum,3108.31
2025-07-08,HDFC Home Loan,7771.6
2025-04-16,Local Kirana Store,5537.35
2025-02-26,Amazon Prime,8023.28
2025-03-09,Doctor Consultation,91.17
2025-02-17,Home Centre,5577.55
2025-06-29,Reliance Fresh,2256.42
2025-07-18,OYO Rooms,2693.11
2025-06-27,1mg,3134.08
2025-05-16,Myntra,1067.28
2025-04-15,ITC Hotels,9613.54
2025-05-17,IRCTC Ticket,1815.6
2025-07-19,Apollo Pharmacy,7352.62
2025-06-12,Temple Donation,3195.99
2025-04-03,INOX,1524.59
2025-06-14,Netflix Subscription,5869.45
2025-07-16,Bikanervala,4613.26
2025-04-18,Charity Trust,8063.22
2025-04-29,BSES Rajdhani,8442.27
2025-02-14,Monthly Rent - Mr. Sharma,7135.28
2025-06-01,Charity Trust,4979.04
2025-05-15,Croma,2059.25
2025-06-08,IKEA,2274.5
2025-04-20,Jio Recharge,9751.5
2025-03-25,JioFiber,9451.28
2025-05-04,Uber Ride,7311.81
2025-05-18,Croma,5171.89
2025-07-07,Domino's,6034.33
2025-08-07,HP Petrol Pump,2207.24
2025-08-09,Shoppers Stop,5261.51
2025-03-27,Indian Oil,361.04
2025-02-17,Axis Bank Car Loan EMI,5498.77
2025-06-13,HP Petrol Pump,7636.98
2025-03-24,Flipkart,583.78
2025-04-16,Delhi Jal Board,337.71
2025-06-21,BSES Bill Payment,3099.71
2025-03-28,BSES Bill Payment,5216.97
2025-03-29,Indian Oil Petrol Pump,9962.12
2025-07-08,Flipkart,1924.24
2025-04-01,Cafe Coffee Day,9784.38
2025-07-04,Delhi Jal Board,1543.97
2025-02-16,Pizza Hut,1749.4
2025-03-21,HDFC Credit Card Bill,645.25
2025-04-23,School Fee - DPS,7705.71
2025-07-26,Cult Fit,9756.76
2025-05-28,IRCTC Ticket,8552.2
2025-07-11,HDFC Credit Card Bill,9979.53
2025-08-05,Monthly Rent - Mr. Sharma,1202.58
2025-04-01,Apollo Pharmacy,426.01
2025-04-26,Monthly Rent - Mr. Sharma,1678.3
2025-07-02,Redbus,8320.71
2025-03-14,Diagnostic Lab,2376.35
2025-05-10,IRCTC Ticket,4016.74
2025-02-25,Lays Chips,9536.04
2025-06-07,OYO Rooms,9170.89
2025-04-17,Axis Bank Car Loan EMI,4898.51
2025-03-31,MakeMyTrip,4051.7
2025-02-15,Lays Chips,9539.81
2025-02-28,Samsung Store,2801.33
2025-07-04,Bharat Petroleum,9222.58
2025-05-02,Anytime Fitness,5738.22
2025-08-05,ITC Hotels,1206.02
2025-06-23,Bangalore Water Supply,7349.59
2025-02-14,LIC Premium,9768.02
2025-06-21,OYO Rooms,3197.93
2025-07-05,H&M,7063.76
2025-06-28,Indian Oil,3265.72
2025-06-15,Hospital Fee,5432.16
2025-06-26,Ola Ride,7519.53
2025-06-07,Samsung Store,2356.39
2025-06-16,Hospital Fee,4241.84
2025-07-11,Apollo Pharmacy,1467.18
2025-05-19,Airtel Recharge,8924.49
2025-03-29,PG Rent - Happy Homes,6848.39
2025-03-14,DishTV,7356.27
2025-05-12,Flipkart,6668.21
2025-05-01,Delhi Jal Board,4507.59
2025-05-30,Delhi Jal Board,5830.33
2025-06-20,Reliance Fresh,496.08
2025-03-07,Big Bazaar,6615.13
2025-07-08,Flipkart,2568.45
2025-05-05,College Fee - XYZ University,1834.65
2025-04-03,Haldiram's,2753.98
2025-07-07,Amazon Prime,3529.66
2025-04-23,Airtel Broadband,3392.85
2025-03-01,HP Petrol Pump,8734.02
2025-06-01,BSES Bill Payment,80.63
2025-04-21,Bangalore Water Supply,2905.62
2025-06-22,Movie Ticket - PVR,5026.24
2025-03-16,Uber Ride,1050.18
2025-05-25,Yatra,8080.99
2025-07-04,HDFC Credit Card Bill,2615.75
2025-06-05,HDFC Life,2339.57
2025-08-04,IKEA,6606.29
2025-07-27,IRCTC Ticket,1662.16
2025-02-25,Uber Ride,3881.51
2025-04-27,SBI General Insurance,2172.48
2025-05-25,IRCTC,2111.96
2025-05-02,Bharat Petroleum,5737.36
2025-02-24,IRCTC,5721.83
2025-05-09,Airtel DTH,636.9
2025-07-15,HP Petrol Pump,4328.02
2025-04-20,IRCTC Ticket,6158.59
2025-04-05,Lays Chips,2066.32
2025-08-02,Monthly Rent - Mr. Sharma,165.81
2025-07-14,Disney+ Hotstar,1283.98
2025-03-23,BSNL Recharge,6425.95
2025-02-24,Airtel Broadband,7520.5
2025-05-19,Tata Power,8466.53
2025-04-04,College Fee - XYZ University,6233.31
2025-07-11,Hospital Fee,7601.04
2025-04-26,Doctor Consultation,1299.4
2025-07-02,Bikanervala,7186.44
2025-07-20,Bharat Petroleum,4907.84
2025-08-09,Uber Ride,2725.55
2025-07-18,Sony LIV,2975.98
2025-06-26,Monthly Rent - Mr. Sharma,5060.46
2025-03-18,LIC Premium,148.01
2025-08-03,HP Petrol Pump,9966.42
2025-03-20,Apple Store,2943.37
2025-03-06,PG Rent - Happy Homes,3311.57
2025-05-01,JioFiber,3201.03
2025-08-01,INOX,9855.32
2025-08-09,Flipkart,936.03
2025-06-03,Adani Electricity,2128.26
2025-07-07,Tuition Fee - Maths,6369.01
2025-05-17,Monthly Rent - Mr. Sharma,5060.21
2025-03-10,Bangalore Water Supply,6687.18
2025-03-15,Big Bazaar,1424.28
2025-05-10,Cafe Coffee Day,6090.03
2025-03-07,Samsung Store,1037.13
2025-08-05,1mg,5669.83
2025-04-02,HDFC Life,5955.66
2025-04-08,IKEA,4959.02
2025-02-15,MedPlus,7246.02
2025-04-21,ACT Fibernet,2651.89
2025-04-28,Ola Ride,8523.04
2025-07-26,LIC Premium,7458.86
2025-02-12,Shoppers Stop,7043.9
2025-07-13,School Fee - DPS,9764.61
2025-04-22,HDFC Home Loan,1547.45
2025-04-25,HP Petrol Pump,6151.02
2025-06-12,Tata Sky,2189.67
2025-07-19,Netflix Subscription,3655.04
2025-07-08,Lays Chips,6128.53
2025-07-18,SBI Card Payment,6646.44
2025-04-11,LIC Premium,7118.73
2025-05-13,IRCTC,999.48
2025-06-04,Yatra,6076.28
2025-07-01,Donation to NGO,3519.89
2025-04-25,Uber Ride,442.68
2025-07-03,Croma,6463.56
2025-03-23,Anytime Fitness,7943.94
2025-03-02,LIC Premium,2553.36
2025-03-03,IKEA,7063.86
2025-06-15,Airtel DTH,6794.86
2025-06-03,1mg,1031.63
2025-04-10,Delhi Jal Board,1374.84
2025-05-24,Delhi Jal Board,5054.82
2025-05-25,Zomato,4979.8
2025-03-29,Adani Electricity,8540.56
2025-04-27,School Fee - DPS,1478.94
2025-06-26,Anytime Fitness,3103.58
2025-05-24,Croma,5455.28
2025-03-13,Netflix Subscription,1903.06
2025-08-10,Pizza Hut,2888.13
2025-06-20,Shoppers Stop,731.26
2025-03-26,Apollo Pharmacy,7715.16
2025-06-18,IRCTC Ticket,9609.78
2025-07-11,Haldiram's,4295.14
2025-07-05,ITC Hotels,9095.07
2025-05-25,Temple Donation,6568.41
2025-05-16,Donation to NGO,6169.19
2025-06-12,College Fee - XYZ University,7741.16
2025-05-19,Indian Oil,235.8
2025-05-18,School Fee - DPS,5537.68
2025-07-06,Croma,9387.75
2025-08-08,HP Petrol Pump,8151.93
2025-07-30,Hospital Fee,3779.43
2025-07-14,Bharat Petroleum,9825.97
2025-04-25,Zara,8673.56
2025-03-25,Tuition Fee - Science,3374.28
2025-08-11,Bharat Petroleum,8182.68
2025-05-01,Tuition Fee - Science,7273.04
2025-03-11,ACT Fibernet,9473.14
2025-05-05,ITC Hotels,4859.15
2025-07-12,Taj Hotels,391.92
2025-07-28,Anytime Fitness,423.7
2025-06-06,Haldiram's,842.39
2025-04-28,Flipkart,2521.3
2025-07-22,Adani Electricity,2762.01
2025-06-04,SBI General Insurance,6916.73
2025-05-31,Anytime Fitness,3691.0
2025-07-16,College Fee - XYZ University,7189.32
2025-07-01,BSES Bill Payment,8201.26
2025-02-21,Anytime Fitness,3913.44
2025-07-30,HP Petrol Pump,2051.46
2025-04-09,Hospital Fee,7444.19
2025-07-22,Cult Fit,6213.99
2025-03-09,SBI Card Payment,4448.48
2025-05-04,SBI General Insurance,625.8
2025-04-26,Tuition Fee - Science,1117.17
2025-05-06,Swiggy,3386.56
2025-04-29,Amazon Prime,1619.68
2025-03-09,Amazon,4005.57
2025-04-15,Netflix Subscription,3801.19
2025-04-26,SBI General Insurance,4445.39
2025-05-27,1mg,1855.64
2025-07-23,Sony LIV,946.22
2025-04-25,Tata Sky,1770.07
2025-03-15,Indian Oil Petrol Pump,1952.75
2025-06-25,Disney+ Hotstar,8612.13
2025-03-12,MakeMyTrip,8627.12
2025-08-01,OYO Rooms,8417.73
2025-03-22,HDFC Life,4895.44
2025-03-05,Diagnostic Lab,804.17
2025-06-06,Bikanervala,2353.66
2025-05-18,BSES Rajdhani,7164.46
2025-05-17,SBI Card Payment,8501.48
2025-04-25,Uber Ride,2775.0
2025-03-21,Anytime Fitness,2587.02
2025-05-08,Adani Electricity,4828.94
2025-05-29,Home Centre,5723.81
2025-07-10,Home Centre,1610.42
2025-08-09,HDFC Home Loan,9686.52
2025-08-03,MedPlus,7496.61
2025-07-26,Tuition Fee - Science,2638.82
2025-08-10,Airtel DTH,1449.87
2025-06-01,Monthly Rent - Mr. Sharma,1929.04
2025-02-14,Bharat Petroleum,3983.97
2025-04-28,HP Petrol Pump,1118.06
2025-05-25,Netflix Subscription,2866.32
2025-02-12,ACT Fibernet,7464.3
2025-02-15,DMart,7300.47
2025-07-17,H&M,5399.76
2025-02-23,IKEA,7445.31
2025-08-06,HP Petrol Pump,995.06
2025-05-06,SBI General Insurance,4666.64
2025-04-24,Diagnostic Lab,2096.98
2025-06-24,ITC Hotels,2417.43
2025-07-30,Monthly Rent - Mr. Sharma,6516.4
2025-06-27,School Fee - DPS,9590.21
2025-02-27,Airtel Recharge,6820.08
2025-06-24,Bikanervala,7955.9
2025-03-15,SBI Card Payment,2019.56
2025-03-01,Gold's Gym,5531.82
2025-07-25,PG Rent - Happy Homes,4454.62
2025-02-14,HDFC Home Loan,9988.59
2025-07-09,Hospital Fee,697.72
2025-08-06,Redbus,4970.23
2025-08-02,MedPlus,9681.35
2025-04-26,Airtel Broadband,8082.1
2025-07-25,ACT Fibernet,8284.46
2025-03-23,Bharat Petroleum,6931.87
2025-04-16,DishTV,5590.49
2025-07-30,HDFC Life,4042.5
2025-05-30,INOX,7168.68
2025-05-03,Local Kirana Store,3772.26
2025-03-24,Amazon,8869.5
2025-06-04,Tata Power,819.06
2025-07-08,Zara,8310.58
2025-06-16,DMart,6789.75
2025-05-06,BSES Bill Payment,6562.9
2025-04-19,Temple Donation,1756.97
2025-03-03,Tuition Fee - Science,6102.87
2025-05-17,Cult Fit,8102.65
2025-07-28,1mg,3116.29
2025-07-21,Monthly Rent - Mr. Sharma,1963.36
2025-04-25,Tata Power,1588.4
2025-05-15,Monthly Rent - Mr. Sharma,7606.12
2025-07-02,Airtel Broadband,2134.18
2025-06-22,Flipkart,4392.41
2025-04-30,Pizza Hut,6484.54
2025-07-05,Indian Oil,4468.62
2025-05-22,Pantaloons,2614.27
2025-03-03,Jio Recharge,6566.47
2025-04-14,Cult Fit,1353.7
2025-04-23,Taj Hotels,4247.77
2025-06-10,LIC Premium,5794.59
2025-04-23,Reliance Fresh,1386.06
2025-04-21,Bharat Petroleum,5229.24
2025-05-22,Airtel Recharge,6523.89
2025-06-13,BSES Bill Payment,187.28
2025-03-13,HP Petrol Pump,1318.66
2025-06-05,BSES Bill Payment,8161.2
2025-05-03,IRCTC,3313.76
2025-04-15,Anytime Fitness,5437.62
2025-03-15,INOX,847.18
2025-07-15,Temple Donation,7591.61
2025-06-17,Netflix Subscription,889.24
2025-06-06,Amazon Prime,1148.86
2025-05-15,Swiggy,4140.99
2025-06-02,INOX,4017.66
2025-04-15,JioFiber,7961.18
2025-05-09,MedPlus,437.73
2025-07-30,Charity Trust,4625.87
2025-07-21,Croma,2332.21
2025-02-26,Apollo Pharmacy,4847.73
2025-07-16,Cult Fit,2588.97
2025-04-01,BSES Rajdhani,2585.7
2025-04-19,Sony LIV,471.35
2025-05-13,Myntra,7975.07
2025-07-16,Temple Donation,1001.75
2025-06-17,Myntra,3441.05
2025-07-26,Indian Oil Petrol Pump,7326.82
2025-02-24,Axis Bank Car Loan EMI,8542.45
2025-03-06,Amazon Prime,706.58
2025-06-25,Anytime Fitness,8190.17
2025-06-22,Airtel Broadband,5224.01
2025-03-23,H&M,3690.97
2025-04-13,H&M,472.69
2025-03-10,Monthly Rent - Mr. Sharma,5110.75
2025-06-30,Tuition Fee - Science,5018.76
2025-02-22,HDFC Home Loan,716.22
2025-05-20,Tuition Fee - Maths,3567.66
2025-02-24,PG Rent - Happy Homes,2026.73
2025-03-12,HP Petrol Pump,8053.53
2025-04-25,SBI Card Payment,2055.5
2025-06-13,PG Rent - Happy Homes,5387.3
2025-04-13,H&M,6833.79
2025-04-22,Big Bazaar,4374.52
2025-03-05,Apple Store,4241.77
2025-07-20,Gold's Gym,6006.29
2025-06-04,Cult Fit,9985.62
2025-08-03,Sony LIV,530.06
2025-03-29,Uber Ride,2829.85
2025-02-13,Tuition Fee - Maths,364.65
2025-06-05,Airtel DTH,6302.14
2025-04-30,Samsung Store,2442.24
2025-05-26,Croma,6116.0
2025-05-27,Indian Oil,8582.96
2025-08-02,Tata Power Bill,1688.45
2025-03-23,Cult Fit,1300.69
2025-03-13,Gold's Gym,3747.74
2025-08-07,Vijay Sales,8864.51
2025-03-08,Monthly Rent - Mr. Sharma,8107.09
2025-03-10,Cult Fit,6789.91
2025-07-19,DishTV,382.71
2025-04-10,INOX,6443.24
2025-04-05,Tata Power,6419.98
2025-07-24,Temple Donation,6294.59
2025-04-04,School Fee - DPS,659.12
2025-05-11,HDFC Credit Card Bill,8171.68
2025-04-28,Airtel Broadband,9436.77
2025-04-13,Flipkart,7607.82
2025-02-12,Pizza Hut,9702.57
2025-07-11,DMart,7190.54
2025-06-16,Axis Bank Car Loan EMI,9681.32
2025-05-22,Hospital Fee,9053.11
2025-07-11,Gold's Gym,8949.76
2025-04-29,Airtel Recharge,4390.7
2025-07-05,Local Kirana Store,2428.62
2025-02-24,ITC Hotels,9251.33
2025-02-12,Zomato,9331.78
2025-03-18,Tata Sky,8375.78
2025-03-03,Hospital Fee,3239.09
2025-03-03,Amazon,6565.52
2025-04-16,Bharat Petroleum,5662.92
2025-04-16,College Fee - XYZ University,1023.78
2025-06-05,ACT Fibernet,4934.4
2025-07-30,Apple Store,1623.42
2025-07-11,Reliance Fresh,614.33
2025-03-04,Tuition Fee - Science,991.84
2025-07-01,Cult Fit,6648.06
2025-04-10,BSES Bill Payment,1975.81
2025-03-09,HDFC Life,7722.13
2025-02-20,Adani Electricity,1097.07
2025-04-04,HP Petrol Pump,1432.95
